case_type,number_of_hearings,judge_workload,document_count,case_priority,filing_to_first_hearing_days,court_level,previous_adjournments,total_case_duration_days
criminal,2,74,5,low,31,magistrate,0,251
criminal,3,70,4,low,6,district,2,458
civil,5,45,6,low,48,magistrate,0,391
labor,5,61,2,low,37,magistrate,2,372
civil,6,34,12,low,0,magistrate,1,345
tax,3,57,10,low,24,high_court,0,939
tax,6,56,4,low,3,magistrate,1,385
criminal,2,57,2,low,47,magistrate,0,196
criminal,2,29,1,medium,29,magistrate,1,433
family,2,70,8,low,74,magistrate,0,299
civil,5,51,1,low,6,district,0,436
labor,6,53,5,low,94,district,2,646
family,5,67,3,low,29,magistrate,1,247
family,3,43,3,medium,31,magistrate,1,365
civil,6,61,5,low,15,magistrate,2,351
family,2,39,5,low,54,magistrate,3,288
family,4,45,9,low,29,district,1,645
civil,3,42,3,low,83,magistrate,2,399
civil,3,68,3,low,13,district,1,392
criminal,2,43,5,low,26,supreme,2,1358
criminal,5,57,7,high,56,magistrate,0,100
civil,6,41,5,medium,216,high_court,2,944
family,5,25,1,low,49,district,0,429
criminal,5,62,3,low,4,district,0,505
criminal,5,55,6,low,14,magistrate,2,283
civil,3,30,7,low,21,magistrate,0,133
criminal,6,33,5,low,7,district,1,567
criminal,12,61,3,medium,57,district,0,614
criminal,3,22,3,high,21,magistrate,2,408
family,4,45,3,low,58,magistrate,0,279
civil,6,84,4,low,25,supreme,0,1155
labor,4,47,3,medium,6,magistrate,0,207
family,2,73,4,low,24,magistrate,0,239
family,3,53,5,low,2,district,1,398
tax,5,22,6,low,51,district,1,598
civil,2,57,4,high,1,high_court,0,891
civil,7,38,5,low,8,magistrate,1,490
tax,2,51,7,low,56,high_court,1,1183
tax,2,67,4,medium,101,district,0,467
civil,3,50,2,low,65,district,2,543
civil,4,62,5,medium,24,magistrate,1,265
family,4,48,7,high,11,district,0,401
civil,4,38,6,medium,13,supreme,1,1158
criminal,10,64,4,high,28,high_court,0,1207
tax,2,57,3,medium,19,magistrate,1,309
family,1,50,9,low,19,high_court,2,487
civil,5,71,1,low,7,high_court,0,866
civil,8,53,6,low,94,magistrate,0,371
civil,1,75,11,medium,13,district,2,321
civil,3,66,6,low,12,district,1,353
civil,3,54,10,medium,20,district,0,344
civil,6,73,3,low,14,district,0,345
civil,5,53,4,low,26,district,0,458
criminal,2,27,7,low,24,magistrate,1,350
civil,4,42,4,medium,7,magistrate,2,291
tax,3,64,7,low,9,magistrate,1,309
civil,5,41,9,medium,14,district,0,434
civil,3,66,5,low,11,magistrate,1,130
civil,8,43,6,low,59,magistrate,0,429
criminal,6,39,9,medium,36,magistrate,0,151
tax,3,68,10,high,4,magistrate,0,291
civil,3,9,4,low,19,magistrate,1,148
labor,4,36,2,medium,68,magistrate,2,498
criminal,4,72,6,low,58,magistrate,0,309
civil,2,34,6,medium,16,magistrate,1,305
civil,6,23,2,medium,17,magistrate,2,399
civil,6,43,4,medium,7,district,1,367
criminal,6,65,3,high,42,district,0,747
civil,5,67,4,low,20,magistrate,1,193
family,4,47,4,medium,30,high_court,0,709
civil,2,50,6,low,4,district,1,392
family,7,44,3,low,39,district,1,444
civil,2,47,6,high,50,high_court,0,1044
civil,2,80,8,medium,33,high_court,2,744
civil,2,41,7,medium,20,district,1,511
civil,5,35,3,low,58,magistrate,2,214
civil,6,52,5,low,2,magistrate,0,373
civil,4,41,4,low,47,magistrate,1,217
criminal,4,65,3,medium,24,magistrate,2,372
tax,5,55,5,medium,12,magistrate,1,406
civil,3,62,4,medium,8,magistrate,1,279
family,4,49,5,low,49,district,1,505
criminal,4,64,7,medium,23,magistrate,1,331
civil,5,46,4,medium,17,district,0,284
family,3,73,3,low,19,district,1,379
criminal,6,40,8,low,44,magistrate,1,292
criminal,3,80,3,high,10,district,1,550
tax,3,43,2,medium,4,district,2,500
criminal,2,53,6,medium,3,magistrate,1,353
labor,3,72,5,low,121,district,4,642
criminal,4,32,8,high,2,district,1,535
criminal,4,50,9,low,134,magistrate,1,356
criminal,3,51,4,low,15,district,0,459
criminal,1,47,5,high,21,magistrate,2,281
civil,2,45,6,medium,6,magistrate,0,59
civil,2,62,6,low,25,magistrate,0,98
civil,2,81,10,low,113,magistrate,1,222
criminal,3,41,3,low,45,district,2,545
criminal,4,49,3,low,27,district,2,628
family,2,47,5,low,2,magistrate,0,79
criminal,5,50,4,low,42,high_court,0,775
civil,2,56,4,low,43,magistrate,2,90
civil,4,46,3,low,35,magistrate,2,331
criminal,5,36,8,medium,28,district,1,637
civil,5,67,5,medium,11,magistrate,0,289
criminal,6,66,7,medium,2,high_court,0,1069
criminal,1,44,3,low,1,district,2,488
civil,4,57,5,low,49,magistrate,0,272
civil,3,39,6,low,8,district,1,453
criminal,5,44,3,low,1,magistrate,1,477
criminal,4,24,5,medium,16,magistrate,1,381
civil,4,70,8,low,6,high_court,1,741
criminal,5,28,7,low,52,magistrate,0,185
criminal,2,72,5,low,6,magistrate,1,210
labor,4,62,5,low,20,magistrate,2,408
family,4,36,5,low,28,district,1,376
labor,3,45,4,low,36,high_court,0,729
civil,6,48,5,low,4,district,1,502
labor,3,38,10,medium,3,magistrate,1,125
labor,5,52,7,low,20,district,0,376
criminal,3,51,7,low,31,district,0,416
civil,5,49,6,low,41,district,1,396
criminal,5,45,1,medium,13,high_court,1,1096
criminal,4,70,4,medium,44,magistrate,1,304
tax,5,42,7,medium,39,magistrate,0,299
criminal,7,33,3,low,24,magistrate,1,361
civil,6,30,3,low,4,district,4,500
civil,6,61,7,low,36,district,1,414
labor,4,64,3,low,93,district,1,486
criminal,1,41,4,medium,146,magistrate,2,475
civil,2,48,3,low,16,magistrate,0,137
criminal,6,41,6,medium,21,magistrate,3,439
criminal,7,66,1,medium,20,district,2,721
civil,4,33,9,low,13,district,1,556
criminal,5,44,4,low,3,magistrate,1,374
civil,3,33,4,medium,53,supreme,2,1349
civil,2,68,2,medium,0,district,0,553
civil,5,72,6,low,75,magistrate,1,175
family,3,21,6,medium,43,district,0,376
civil,4,68,4,low,30,district,2,485
civil,2,71,6,medium,1,magistrate,0,307
family,4,43,9,low,46,district,0,235
family,4,51,3,medium,57,magistrate,1,105
civil,6,41,4,low,3,magistrate,2,274
civil,5,50,3,high,63,magistrate,0,357
family,5,62,1,low,31,magistrate,2,260
family,3,56,5,medium,0,high_court,0,747
criminal,6,47,8,low,12,magistrate,2,170
labor,3,73,3,low,102,magistrate,0,173
criminal,4,70,4,medium,1,magistrate,1,252
criminal,5,68,7,low,29,magistrate,1,166
labor,4,61,7,low,17,magistrate,2,235
civil,5,68,12,low,43,magistrate,1,347
criminal,7,53,5,low,23,district,3,637
criminal,2,22,7,low,50,supreme,2,1534
criminal,3,53,7,medium,2,district,0,510
tax,4,22,5,medium,20,magistrate,2,479
criminal,3,71,6,low,29,magistrate,0,230
civil,2,48,1,low,15,high_court,1,649
civil,1,46,3,low,5,high_court,0,564
civil,4,58,5,low,34,supreme,0,1282
civil,2,61,5,high,2,district,1,477
criminal,8,56,8,low,4,magistrate,0,322
tax,5,45,6,low,74,high_court,0,1019
civil,2,71,7,low,22,magistrate,2,249
civil,3,52,2,low,94,district,2,429
family,3,43,2,medium,14,district,1,399
civil,3,34,7,high,11,magistrate,2,508
civil,5,62,4,medium,22,magistrate,1,123
criminal,4,67,4,medium,1,magistrate,4,517
criminal,6,45,6,medium,11,magistrate,0,244
family,3,69,5,medium,16,magistrate,2,372
civil,6,85,4,medium,15,magistrate,3,413
tax,2,53,4,low,76,magistrate,1,82
tax,2,63,5,low,12,magistrate,2,281
tax,3,39,4,low,12,district,2,333
civil,2,41,4,low,28,district,1,425
criminal,5,46,5,medium,46,magistrate,1,205
criminal,7,70,5,low,8,district,1,597
criminal,6,37,3,low,31,district,0,590
civil,5,39,5,low,53,high_court,1,736
family,2,39,4,low,37,magistrate,0,61
civil,4,36,3,low,7,magistrate,3,442
tax,2,22,3,high,14,magistrate,1,237
civil,5,38,4,high,51,magistrate,1,309
civil,3,69,3,medium,0,magistrate,0,344
criminal,5,40,6,low,71,district,2,487
civil,5,53,2,low,0,district,1,401
criminal,4,28,0,low,29,district,1,397
criminal,4,53,6,medium,20,district,1,469
civil,7,39,4,low,0,magistrate,3,402
family,2,67,8,low,2,magistrate,2,350
family,1,69,5,medium,0,magistrate,2,130
criminal,8,55,3,low,16,magistrate,1,310
criminal,7,27,5,low,2,magistrate,2,384
civil,2,28,6,low,3,magistrate,3,194
criminal,7,59,7,low,6,district,1,437
family,4,55,5,low,0,magistrate,1,124
civil,4,29,2,low,19,magistrate,1,227
criminal,7,46,6,low,25,district,2,639
criminal,4,40,1,medium,9,district,1,605
criminal,4,71,10,low,70,district,0,380
civil,6,36,4,medium,15,district,1,627
civil,2,36,7,medium,11,magistrate,1,312
family,1,50,8,low,2,supreme,0,899
criminal,3,45,5,low,5,district,0,457
civil,3,15,5,low,56,magistrate,2,356
civil,5,57,3,medium,3,district,0,504
civil,4,29,1,low,16,magistrate,0,280
family,4,23,3,medium,8,magistrate,2,247
civil,6,37,6,low,15,high_court,1,733
civil,6,53,4,low,57,magistrate,1,305
family,4,39,2,low,7,district,0,326
criminal,2,25,5,low,23,magistrate,0,159
family,3,40,6,medium,23,magistrate,0,328
labor,3,51,4,medium,6,district,0,287
criminal,4,61,4,low,31,magistrate,0,164
civil,2,51,4,medium,38,district,0,435
civil,3,63,5,medium,45,magistrate,1,317
civil,5,72,6,low,4,district,2,517
civil,5,50,6,low,86,district,1,448
family,3,74,2,low,21,magistrate,0,303
criminal,3,32,10,medium,6,magistrate,0,139
civil,1,44,2,high,4,magistrate,1,318
civil,3,60,6,low,10,district,1,349
civil,5,72,6,low,16,district,3,425
tax,6,54,4,medium,12,magistrate,1,251
civil,6,76,7,low,100,magistrate,0,299
family,3,27,5,low,26,magistrate,0,399
criminal,4,46,3,low,90,magistrate,0,268
civil,3,81,5,low,22,magistrate,1,256
labor,2,92,6,low,5,high_court,3,862
criminal,2,21,3,low,38,magistrate,1,366
labor,4,71,6,low,1,magistrate,3,258
criminal,6,49,4,medium,4,magistrate,0,418
tax,5,70,3,low,54,magistrate,2,382
family,3,71,5,low,54,district,1,475
civil,7,73,7,medium,3,district,1,510
family,5,55,3,high,20,district,0,353
labor,3,77,5,low,7,magistrate,1,154
civil,6,53,7,medium,3,district,1,353
civil,3,48,6,low,7,magistrate,0,329
criminal,4,85,4,low,3,district,0,457
labor,4,1,6,low,12,district,0,322
tax,2,45,9,low,24,high_court,2,896
criminal,5,12,10,low,52,district,1,429
criminal,5,21,5,low,5,district,1,592
civil,3,63,6,medium,25,magistrate,0,108
civil,5,29,3,medium,15,high_court,4,841
civil,6,73,5,medium,6,magistrate,2,260
criminal,4,16,8,low,56,magistrate,1,407
civil,2,82,7,low,16,district,0,263
family,5,45,6,medium,27,district,1,388
criminal,2,38,6,medium,116,magistrate,1,293
family,3,75,3,low,44,district,2,551
civil,4,65,4,low,12,magistrate,1,362
criminal,3,48,5,medium,11,magistrate,2,252
tax,5,81,6,medium,16,supreme,0,1596
civil,3,65,4,low,49,magistrate,0,122
criminal,3,57,5,medium,13,magistrate,1,275
labor,5,58,7,low,89,district,0,449
criminal,9,46,3,low,40,magistrate,0,291
criminal,2,59,3,medium,117,supreme,4,1628
civil,8,50,5,low,10,high_court,0,839
criminal,6,50,6,low,4,magistrate,1,309
civil,4,48,6,low,4,high_court,0,612
civil,5,51,2,low,16,supreme,3,1152
civil,3,49,3,low,41,magistrate,1,191
criminal,5,42,4,low,66,district,0,279
civil,4,35,4,low,0,district,0,450
criminal,4,34,6,medium,0,magistrate,2,348
criminal,2,67,4,medium,3,magistrate,0,280
civil,4,64,6,low,22,magistrate,1,289
family,4,56,7,low,13,high_court,1,535
tax,2,53,8,low,31,district,0,409
criminal,3,36,4,low,10,magistrate,1,256
tax,7,54,5,low,16,magistrate,1,509
civil,6,48,4,low,50,magistrate,0,272
criminal,6,30,1,high,7,high_court,0,1100
tax,3,35,7,low,16,district,0,338
civil,5,71,3,low,4,district,1,333
civil,2,48,6,low,34,magistrate,0,30
family,7,44,5,low,41,magistrate,0,147
criminal,5,72,8,low,117,district,3,650
civil,6,19,5,low,4,district,0,413
criminal,4,61,7,low,13,magistrate,0,340
civil,8,53,3,medium,10,magistrate,2,359
family,5,56,3,low,58,high_court,1,659
criminal,6,31,5,low,25,magistrate,1,244
civil,8,42,6,low,8,magistrate,2,271
criminal,1,38,8,low,22,supreme,1,1348
family,5,50,5,low,2,district,2,298
tax,5,42,11,medium,4,district,3,710
civil,4,40,4,low,155,magistrate,0,302
civil,3,80,8,medium,7,high_court,0,725
tax,5,48,8,low,14,magistrate,2,409
family,5,40,8,medium,47,high_court,0,742
criminal,4,37,5,low,59,district,0,376
criminal,3,57,3,low,22,magistrate,1,244
civil,4,38,7,low,20,magistrate,0,166
civil,3,38,2,medium,14,magistrate,0,152
civil,4,28,3,medium,24,supreme,2,1389
civil,5,37,7,medium,8,magistrate,2,268
criminal,5,31,4,medium,12,district,0,449
criminal,3,53,6,high,78,district,0,621
criminal,6,54,3,high,19,magistrate,0,381
civil,4,49,2,low,25,district,0,400
civil,3,67,4,medium,8,district,0,384
civil,5,48,4,low,91,district,0,365
criminal,5,74,9,low,3,district,0,528
labor,5,60,3,high,30,supreme,0,1606
labor,2,49,3,medium,5,district,2,444
labor,3,62,4,medium,1,district,0,492
civil,4,44,6,medium,77,district,1,401
civil,6,62,6,low,3,magistrate,1,169
civil,3,41,3,low,5,magistrate,0,226
family,4,63,2,high,11,high_court,0,787
tax,7,35,3,low,8,district,0,628
family,4,46,10,low,13,magistrate,0,206
civil,4,42,3,low,44,district,0,449
civil,10,53,4,medium,52,magistrate,1,450
criminal,1,36,5,medium,36,high_court,0,819
family,5,31,1,high,12,high_court,4,1056
civil,3,59,7,medium,17,magistrate,0,394
civil,4,37,6,low,27,magistrate,1,239
civil,5,32,9,low,46,magistrate,0,225
labor,4,52,2,low,18,high_court,3,808
civil,5,28,4,medium,18,district,2,406
tax,4,79,7,medium,7,district,0,558
civil,3,59,9,low,4,magistrate,0,140
tax,4,42,13,low,58,magistrate,0,344
civil,4,67,6,low,98,district,1,508
civil,3,60,3,low,11,magistrate,2,205
civil,6,35,5,low,39,district,0,316
civil,5,48,6,medium,53,magistrate,2,237
civil,2,44,6,high,44,magistrate,2,463
civil,4,28,3,high,4,magistrate,0,251
criminal,5,71,6,low,17,district,0,330
tax,6,49,3,low,40,district,0,593
criminal,2,70,3,low,40,district,2,475
criminal,3,58,10,low,9,district,2,575
family,2,63,5,low,3,high_court,0,605
civil,6,55,4,medium,11,high_court,1,724
criminal,3,74,3,low,2,district,1,569
civil,3,39,6,low,8,magistrate,0,240
criminal,1,29,6,high,16,magistrate,3,312
family,3,75,3,medium,56,supreme,1,1189
labor,4,54,3,medium,8,magistrate,3,343
criminal,5,50,3,medium,32,district,0,488
civil,5,58,3,low,12,magistrate,1,280
tax,4,29,4,low,18,district,0,440
family,3,39,2,low,119,magistrate,1,326
family,2,57,5,low,19,high_court,0,644
criminal,1,61,5,medium,38,district,0,605
civil,4,26,8,medium,58,magistrate,1,218
civil,4,35,3,medium,0,district,1,468
civil,4,32,4,medium,26,magistrate,1,381
tax,6,66,10,low,57,district,1,580
tax,5,66,5,high,26,district,2,854
criminal,6,47,0,medium,10,magistrate,1,148
criminal,4,46,3,low,19,magistrate,0,214
criminal,6,50,3,medium,9,magistrate,0,304
criminal,4,66,3,low,5,magistrate,2,392
labor,9,69,4,medium,2,magistrate,0,353
civil,3,56,6,medium,45,high_court,0,749
tax,4,18,8,low,22,district,0,556
civil,3,33,7,medium,14,district,1,509
civil,4,62,4,high,13,magistrate,1,303
family,2,44,4,medium,19,high_court,3,810
criminal,6,38,10,low,72,magistrate,1,441
labor,7,63,2,high,122,magistrate,0,424
criminal,1,23,2,low,28,district,0,408
criminal,5,52,5,low,20,magistrate,2,123
criminal,1,71,6,medium,51,district,3,513
tax,7,31,4,low,14,magistrate,0,289
civil,3,47,5,medium,27,magistrate,1,284
civil,3,27,1,high,5,district,1,619
civil,2,57,4,low,2,magistrate,2,162
criminal,5,21,9,low,29,district,1,555
family,3,46,5,low,11,magistrate,1,147
family,6,46,2,low,5,high_court,1,713
civil,4,32,6,low,2,district,0,399
civil,2,64,9,high,22,magistrate,1,199
labor,4,67,2,low,64,magistrate,0,267
criminal,5,73,8,low,121,magistrate,0,391
labor,4,41,5,low,0,district,2,352
civil,5,40,2,low,10,magistrate,1,268
criminal,4,64,4,low,10,high_court,0,836
criminal,3,54,9,medium,6,magistrate,1,271
criminal,7,24,5,low,49,magistrate,0,332
criminal,4,40,7,low,50,magistrate,1,376
family,3,65,5,low,91,high_court,0,710
criminal,4,56,8,low,31,magistrate,1,184
civil,3,43,8,high,18,district,2,490
criminal,3,65,9,low,37,magistrate,0,273
civil,6,72,2,low,0,magistrate,0,143
criminal,7,42,2,medium,2,high_court,3,983
family,4,44,8,low,1,magistrate,0,83
civil,5,59,5,high,100,magistrate,1,366
criminal,2,41,1,low,34,magistrate,1,382
civil,3,18,4,low,3,district,1,379
criminal,3,38,3,low,10,district,0,513
family,4,77,8,low,19,high_court,0,806
family,3,36,2,medium,15,magistrate,3,160
tax,4,65,6,low,32,magistrate,1,392
criminal,5,54,5,low,64,magistrate,1,487
civil,5,24,4,medium,105,district,0,550
civil,7,79,6,medium,39,magistrate,1,341
tax,3,64,7,low,75,magistrate,2,244
criminal,4,36,5,high,42,magistrate,1,363
civil,3,54,3,low,25,magistrate,3,373
civil,4,60,5,medium,56,magistrate,0,272
criminal,2,37,3,medium,2,district,3,535
civil,6,54,6,low,13,district,1,538
civil,5,55,8,medium,18,high_court,0,878
civil,4,53,12,medium,12,magistrate,2,227
civil,2,67,5,medium,37,magistrate,3,129
civil,2,60,7,medium,14,magistrate,0,168
family,8,37,4,low,59,magistrate,0,446
criminal,3,70,3,low,23,supreme,0,1352
criminal,3,67,8,medium,74,high_court,2,1018
civil,3,77,2,low,5,supreme,0,1207
civil,2,34,7,low,16,magistrate,1,270
civil,3,28,3,low,101,magistrate,2,281
family,4,60,7,low,31,magistrate,1,184
criminal,5,39,5,medium,29,district,1,529
criminal,5,38,5,low,50,high_court,1,881
civil,4,63,7,medium,35,magistrate,0,180
criminal,4,39,3,low,3,magistrate,2,180
criminal,3,59,3,medium,28,district,0,514
family,3,48,3,low,53,district,1,595
criminal,4,52,3,low,90,district,0,452
civil,1,46,9,low,9,magistrate,3,428
criminal,8,38,6,low,29,district,0,488
family,11,53,4,low,41,magistrate,2,427
civil,3,44,5,low,20,district,0,288
tax,7,75,2,medium,18,district,2,930
labor,2,69,5,low,19,district,0,377
civil,9,53,8,medium,31,district,0,418
criminal,4,61,4,low,53,high_court,0,718
civil,4,56,2,medium,56,district,0,571
family,1,47,5,low,10,district,0,226
family,4,46,3,medium,22,district,0,394
civil,5,32,3,low,36,magistrate,1,366
civil,4,70,6,medium,42,magistrate,2,235
civil,3,52,6,low,6,magistrate,1,233
criminal,2,38,3,high,28,magistrate,0,352
criminal,6,35,2,medium,43,magistrate,0,247
civil,3,71,4,medium,81,high_court,0,838
criminal,3,52,6,low,59,district,1,480
criminal,4,54,5,medium,10,high_court,1,919
family,2,85,3,low,21,district,2,276
civil,5,56,5,high,37,magistrate,0,221
civil,3,70,5,low,26,magistrate,1,88
civil,6,60,3,medium,16,high_court,3,834
civil,5,41,5,high,3,magistrate,0,418
criminal,2,38,4,low,15,district,1,479
civil,6,27,5,low,35,magistrate,1,189
criminal,6,52,4,medium,15,magistrate,5,518
civil,9,71,6,low,3,high_court,2,716
criminal,3,22,2,low,47,magistrate,0,232
civil,6,45,4,medium,18,magistrate,2,343
criminal,4,39,6,low,1,magistrate,0,278
civil,7,48,4,medium,1,supreme,0,1392
tax,4,44,3,medium,59,district,0,494
criminal,3,51,5,low,27,magistrate,0,265
criminal,5,78,3,low,37,magistrate,0,287
family,4,65,9,medium,91,district,2,478
family,1,62,6,low,48,district,1,421
family,11,19,6,low,1,high_court,0,774
criminal,4,52,3,medium,16,magistrate,1,147
criminal,4,48,5,medium,28,magistrate,1,333
civil,5,61,7,high,39,magistrate,0,190
civil,1,65,7,low,20,district,1,460
civil,4,37,6,low,19,magistrate,0,393
criminal,3,70,3,low,29,magistrate,3,422
civil,2,47,3,low,28,supreme,1,1186
civil,2,51,4,low,27,magistrate,3,370
criminal,3,66,3,low,8,high_court,1,859
family,6,47,3,low,75,magistrate,0,301
criminal,5,54,4,medium,26,district,0,649
family,3,38,6,low,3,district,0,258
family,4,58,4,low,50,high_court,2,732
criminal,6,71,3,low,38,magistrate,1,224
civil,3,51,4,medium,6,magistrate,0,299
civil,6,37,7,high,6,district,0,450
civil,4,41,12,medium,35,magistrate,0,242
civil,7,35,1,medium,22,district,3,526
labor,3,43,5,low,4,district,2,354
criminal,5,62,3,low,16,magistrate,1,297
criminal,3,73,3,medium,27,magistrate,0,357
labor,4,53,5,low,103,high_court,0,785
family,2,53,6,medium,5,magistrate,2,348
civil,4,22,7,low,3,magistrate,2,168
criminal,5,52,9,high,34,magistrate,1,430
civil,5,59,2,medium,3,magistrate,0,206
criminal,4,40,6,medium,6,magistrate,1,269
criminal,1,47,4,high,4,magistrate,0,91
criminal,3,70,6,low,2,magistrate,1,350
criminal,5,46,10,low,81,magistrate,0,225
criminal,3,47,6,low,40,magistrate,1,228
criminal,6,77,6,medium,3,district,1,710
criminal,3,74,5,low,3,district,1,500
civil,3,58,6,medium,7,magistrate,1,262
criminal,5,24,2,low,14,high_court,0,865
civil,3,56,5,medium,5,magistrate,0,183
family,6,32,8,medium,41,high_court,1,764
criminal,4,63,5,low,26,magistrate,0,273
family,4,57,9,medium,0,magistrate,1,316
criminal,7,49,4,low,35,district,1,368
labor,1,67,1,low,26,high_court,1,660
civil,1,57,5,medium,8,magistrate,1,139
criminal,5,43,3,low,31,magistrate,1,178
civil,2,52,4,low,39,magistrate,2,216
family,3,50,3,low,13,magistrate,1,152
criminal,4,37,7,low,23,district,2,680
civil,3,42,4,low,1,magistrate,2,293
civil,4,53,5,medium,13,magistrate,1,278
criminal,4,32,4,medium,65,magistrate,1,377
criminal,1,78,4,low,45,district,1,535
family,3,50,10,high,5,district,1,453
family,3,69,9,low,10,magistrate,1,320
tax,5,26,4,medium,130,magistrate,1,357
civil,3,67,4,low,22,district,0,337
civil,1,46,4,low,20,district,2,379
family,6,37,9,medium,6,magistrate,2,412
family,7,34,6,low,9,magistrate,0,180
civil,3,50,7,medium,24,high_court,4,880
civil,6,61,5,low,31,high_court,0,747
criminal,3,48,6,low,13,magistrate,3,386
tax,7,52,5,medium,19,high_court,0,1103
civil,4,79,5,low,3,high_court,1,834
criminal,2,46,4,high,51,supreme,0,1755
criminal,3,48,7,low,6,magistrate,1,83
criminal,3,39,3,low,1,district,1,510
criminal,5,62,2,high,16,high_court,0,1144
civil,6,66,2,low,69,supreme,2,1337
civil,6,46,5,low,20,district,0,550
civil,4,26,4,medium,73,magistrate,1,171
civil,3,31,2,low,17,magistrate,0,53
criminal,3,49,3,low,6,district,1,434
civil,6,64,9,medium,10,magistrate,2,212
civil,3,52,3,low,3,magistrate,1,163
civil,8,35,6,medium,15,district,1,304
civil,4,78,0,low,27,district,2,418
civil,2,58,5,medium,8,magistrate,0,256
criminal,2,45,5,low,2,magistrate,3,251
criminal,5,35,4,medium,25,magistrate,1,233
civil,4,56,5,medium,0,magistrate,3,302
family,3,69,8,low,3,magistrate,2,434
tax,2,50,8,low,22,district,0,564
criminal,1,65,5,low,25,magistrate,1,137
criminal,2,70,4,low,77,district,3,513
civil,7,41,5,high,6,magistrate,1,491
tax,3,55,7,low,1,supreme,1,1590
civil,2,70,10,high,0,district,3,488
civil,4,70,2,low,6,magistrate,0,266
criminal,10,54,6,low,34,magistrate,1,325
criminal,6,49,4,low,34,supreme,3,1575
criminal,2,71,5,low,38,magistrate,0,251
criminal,7,29,6,low,22,magistrate,2,299
civil,3,50,3,low,13,magistrate,0,132
civil,4,54,2,low,39,district,0,322
criminal,2,31,4,low,18,district,1,457
criminal,3,58,3,medium,7,district,2,626
civil,3,59,7,low,32,magistrate,2,259
family,5,45,2,medium,1,magistrate,1,206
civil,4,45,2,low,22,magistrate,0,312
family,1,96,3,low,20,high_court,0,501
civil,7,17,8,low,23,magistrate,0,201
labor,9,37,8,medium,52,magistrate,1,199
criminal,3,71,8,low,7,magistrate,1,160
civil,5,45,9,low,26,magistrate,3,286
criminal,7,43,5,medium,10,district,1,608
labor,4,67,8,low,103,high_court,0,768
criminal,6,28,4,medium,40,magistrate,0,145
civil,3,80,14,low,122,magistrate,0,223
family,3,54,5,low,17,magistrate,3,175
civil,3,66,7,medium,7,magistrate,2,249
criminal,3,54,6,low,20,magistrate,3,322
tax,2,39,5,low,14,magistrate,0,242
criminal,6,53,6,medium,2,magistrate,0,354
criminal,3,64,6,low,41,magistrate,2,379
civil,2,26,6,low,18,district,0,267
civil,4,56,7,medium,44,district,1,645
criminal,3,31,7,medium,7,high_court,2,1104
criminal,7,81,2,low,11,magistrate,2,269
civil,4,60,6,low,4,magistrate,0,292
criminal,6,38,5,medium,2,magistrate,0,317
labor,6,24,7,low,17,district,0,333
civil,5,33,5,low,5,magistrate,2,161
civil,5,37,7,low,2,district,2,448
civil,7,51,3,high,22,high_court,1,958
civil,4,59,4,low,12,magistrate,1,161
family,1,41,4,medium,36,district,0,243
civil,3,53,3,high,0,magistrate,0,454
family,3,52,5,high,44,magistrate,2,251
family,3,54,8,medium,59,magistrate,0,300
labor,2,85,6,low,48,magistrate,1,252
family,2,13,5,low,27,magistrate,1,171
criminal,5,63,3,low,147,magistrate,1,366
criminal,4,55,7,medium,26,district,0,588
civil,4,47,9,low,5,district,0,191
civil,4,59,4,high,4,high_court,1,810
criminal,5,31,3,medium,51,magistrate,0,365
civil,1,64,10,low,38,district,1,544
civil,4,39,3,low,5,magistrate,1,142
criminal,5,64,4,low,47,magistrate,0,86
family,4,52,3,low,4,magistrate,1,277
criminal,3,59,6,low,5,magistrate,0,198
criminal,5,66,4,low,54,magistrate,0,397
civil,4,55,0,medium,74,district,0,436
civil,2,69,5,medium,5,magistrate,0,163
criminal,6,72,3,low,37,magistrate,1,191
criminal,1,61,3,low,10,magistrate,2,232
criminal,4,33,1,medium,23,magistrate,2,297
criminal,2,36,4,medium,63,district,1,350
civil,3,26,4,medium,37,magistrate,0,175
family,4,43,4,low,52,magistrate,0,302
criminal,6,52,3,medium,10,district,0,633
civil,6,60,6,high,45,magistrate,0,406
family,4,46,3,medium,22,supreme,0,1177
civil,3,33,4,medium,51,high_court,1,826
criminal,2,64,2,low,28,magistrate,0,267
criminal,6,48,3,high,9,magistrate,0,453
civil,4,46,5,medium,0,district,3,557
civil,11,58,6,high,12,magistrate,1,524
labor,5,47,2,low,29,supreme,0,1431
criminal,2,29,4,medium,0,magistrate,3,383
civil,5,53,2,low,1,magistrate,1,159
criminal,3,51,6,medium,3,district,0,444
criminal,3,44,5,low,24,supreme,1,1341
civil,3,49,3,low,86,district,1,456
family,6,62,5,medium,7,district,2,460
civil,6,80,7,low,11,magistrate,0,196
tax,4,52,1,high,8,district,1,659
civil,5,51,2,medium,66,district,1,388
criminal,7,44,6,low,26,district,1,559
civil,3,60,2,low,7,magistrate,0,289
labor,4,44,7,medium,9,magistrate,1,121
tax,3,63,6,low,82,magistrate,0,391
criminal,4,60,4,low,1,magistrate,2,315
labor,3,44,5,high,60,high_court,1,808
criminal,2,12,6,medium,67,district,1,521
criminal,9,29,2,medium,1,magistrate,0,562
family,5,49,3,medium,14,supreme,1,1040
criminal,5,65,6,low,23,district,1,500
criminal,5,66,9,low,37,district,1,626
criminal,5,56,8,low,87,magistrate,1,494
